"Choice";"Acronimo";"Descripcion";"Ejemplos"
"Global";"GLB";"Encompasses the entire planet.";"Global energy transition models."
"Continental";"CONT";"Covers a specific continent completely.";"European power grid, South America."
"Multinational";"MULT";"Spans across several countries (not a whole continent).";"Nord Pool, Iberian electricity market (MIBEL)."
"National";"NAT";"Limited to a single country.";"German energy market, Chile (SEN)."
"State/Provincial";"PROV";"Regional/Sub-national level within a country.";"California (CAISO), Texas (ERCOT)."
"Local";"LOC";"Specific cities or micro-regions.";"A specific municipal grid or solar plant."
"Other";"OTH";"Spatial scale not covered by previous categories.";"Off-grid isolated islands."
"No Information";"NI";"Scale is not specified or not applicable.";"Purely theoretical papers."
