"Choice";"Acronimo";"Descripcion";"Ejemplos"
"Public / Gov.";"PUB";"Government entities, regulators, policy makers.";"Ministry of Energy, System Operators (ISO/TSO)."
"Private / Industry";"PRV";"For-profit companies, utilities, consulting firms.";"Enel, Engie, BloombergNEF."
"Academia / Research";"ACA";"Universities and independent research institutes.";"MIT, Fraunhofer, University of Chile."
